Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation
0,101,0.776782776,0,-2.158743,SAA,3,1,NA
1,102,1.442567993,0,-2.158743,DAA,1,17,+Y
2,103,2.10837793,0,-2.158743,DAA,4,17,+Y
3,104,2.774187988,0,-2.158743,DAA,2,17,+Y
4,105,3.439998047,0,-2.158743,DAA,3,17,+Y
5,106,3.968012939,0,-2.158743,SAA,2,1,NA
6,107,0.44386499,-0.57660498,-2.158743,SAA,1,1,NA
7,108,1.109675049,-0.57660498,-2.158743,DAA,4,18,+Y
8,109,1.775484985,-0.57660498,-2.158743,DAA,2,18,+Y
9,110,2.441295898,-0.57660498,-2.158743,DAA,3,18,+Y
10,111,3.107080078,-0.57660498,-2.158743,DAA,1,18,+Y
11,112,3.772891113,-0.57660498,-2.158743,DAA,4,19,-X
12,113,0,-1.153209961,-2.158743,DAA,2,19,+Y
13,114,0.776782776,-1.153209961,-2.158743,DAA,3,19,+Y
14,115,1.442567993,-1.153209961,-2.158743,DAA,1,19,+Y
15,116,2.10837793,-1.153209961,-2.158743,DAA,4,20,+Y
16,117,2.774187988,-1.153209961,-2.158743,DAA,2,20,+Y
17,118,3.439998047,-1.153209961,-2.158743,DAA,3,20,+Y
18,119,3.9005,-0.997687012,-2.158743,SAA,2,2,NA
19,120,0.44386499,-1.729819946,-2.158743,DAA,1,20,+Y
20,121,1.109675049,-1.729819946,-2.158743,DAA,4,21,+Y
21,122,1.775484985,-1.729819946,-2.158743,DAA,2,21,+Y
22,123,2.44127002,-1.729819946,-2.158743,DAA,3,21,+Y
23,124,3.107080078,-1.729819946,-2.158743,DAA,1,21,+Y
24,125,3.724452881,-1.517949951,-2.158743,SAA,4,1,NA
25,126,0,-2.306419922,-2.158743,DAA,2,22,+Y
26,127,0.776782776,-2.306419922,-2.158743,DAA,3,22,+Y
27,128,1.442567993,-2.306419922,-2.158743,DAA,1,22,-X
28,129,2.10837793,-2.306419922,-2.158743,DAA,4,22,+Y
29,130,2.774187988,-2.306419922,-2.158743,DAA,2,23,+Y
30,131,3.387954102,-2.167409912,-2.158743,SAA,3,2,NA
31,132,0.44386499,-2.883030029,-2.158743,DAA,1,23,+Y
32,133,1.109675049,-2.883030029,-2.158743,DAA,4,23,+Y
33,134,1.775484985,-2.883030029,-2.158743,DAA,2,24,+Y
34,135,2.44127002,-2.883030029,-2.158743,DAA,3,23,-X
35,136,2.939364014,-2.745179932,-2.158743,SAA,4,2,NA
36,137,0.221945206,-3.459629883,-2.158743,DAA,2,25,+Y
37,138,0.88772998,-3.459629883,-2.158743,DAA,3,24,+Y
38,139,1.553540039,-3.267429932,-2.158743,SAA,1,2,NA
39,140,2.089733887,-3.436389893,-2.158743,SAA,4,3,NA
40,141,0.365734589,-4.00525,-2.158743,SAA,1,3,NA
41,142,1.085088013,-3.87276001,-2.158743,SAA,2,3,NA
42,143,1.60401001,-3.692780029,-2.158743,SAA,3,3,NA
43,207,-0.44386499,-0.57660498,-2.158743,SAA,1,4,NA
44,208,-1.109680054,-0.57660498,-2.158743,DAA,4,24,+Y
45,209,-1.77548999,-0.57660498,-2.158743,DAA,2,26,+Y
46,210,-2.441300049,-0.57660498,-2.158743,DAA,3,25,+Y
47,211,-3.107080078,-0.57660498,-2.158743,DAA,1,24,+Y
48,212,-3.772889893,-0.57660498,-2.158743,DAA,4,25,+X
49,214,-0.77678302,-1.153209961,-2.158743,DAA,3,26,+Y
50,215,-1.442569946,-1.153209961,-2.158743,DAA,1,25,+Y
51,216,-2.108379883,-1.153209961,-2.158743,DAA,4,26,+Y
52,217,-2.774189941,-1.153209961,-2.158743,DAA,2,27,+Y
53,218,-3.44,-1.153209961,-2.158743,DAA,3,27,+Y
54,219,-3.9005,-0.997687012,-2.158743,SAA,2,4,NA
55,220,-0.44386499,-1.729819946,-2.158743,DAA,1,26,+Y
56,221,-1.109680054,-1.729819946,-2.158743,DAA,4,27,+Y
57,222,-1.77548999,-1.729819946,-2.158743,DAA,2,28,+Y
58,223,-2.44127002,-1.729819946,-2.158743,DAA,3,28,+Y
59,224,-3.107080078,-1.729819946,-2.158743,DAA,1,27,+Y
60,225,-3.724449951,-1.517949951,-2.158743,SAA,4,4,NA
61,227,-0.77678302,-2.306419922,-2.158743,DAA,3,29,+Y
62,228,-1.442569946,-2.306419922,-2.158743,DAA,1,28,+X
63,229,-2.108379883,-2.306419922,-2.158743,DAA,4,28,+Y
64,230,-2.774189941,-2.306419922,-2.158743,DAA,2,29,+Y
65,231,-3.387949951,-2.167409912,-2.158743,SAA,3,4,NA
66,232,-0.44386499,-2.883030029,-2.158743,DAA,1,29,+Y
67,233,-1.109680054,-2.883030029,-2.158743,DAA,4,29,+Y
68,234,-1.77548999,-2.883030029,-2.158743,DAA,2,30,+Y
69,235,-2.44127002,-2.883030029,-2.158743,DAA,3,30,+X
70,236,-2.939360107,-2.745179932,-2.158743,SAA,4,5,NA
71,237,-0.221945007,-3.459629883,-2.158743,DAA,2,31,+Y
72,238,-0.88772998,-3.459629883,-2.158743,DAA,3,31,+Y
73,239,-1.553540039,-3.267429932,-2.158743,SAA,1,5,NA
74,240,-2.08972998,-3.436389893,-2.158743,SAA,4,6,NA
75,241,-0.365734985,-4.00525,-2.158743,SAA,1,6,NA
76,242,-1.085089966,-3.87276001,-2.158743,SAA,2,5,NA
77,243,-1.60401001,-3.692780029,-2.158743,SAA,3,5,NA
78,301,-0.77678302,0,-2.158743,SAA,3,6,NA
79,302,-1.442569946,0,-2.158743,DAA,1,30,+Y
80,303,-2.108379883,0,-2.158743,DAA,4,30,+Y
81,304,-2.774189941,0,-2.158743,DAA,2,32,+Y
82,305,-3.44,0,-2.158743,DAA,3,32,+Y
83,306,-3.96801001,0,-2.158743,SAA,2,6,NA
84,307,-0.44386499,0.576605408,-2.158743,SAA,1,7,NA
85,308,-1.109680054,0.576605408,-2.158743,DAA,4,31,+Y
86,309,-1.77548999,0.576605408,-2.158743,DAA,2,33,+Y
87,310,-2.441300049,0.576605408,-2.158743,DAA,3,33,+Y
88,311,-3.107080078,0.576605408,-2.158743,DAA,1,31,-Y
89,312,-3.772889893,0.576605408,-2.158743,DAA,4,32,+X
90,313,0,1.15321106,-2.158743,DAA,2,34,+Y
91,314,-0.77678302,1.15321106,-2.158743,DAA,3,34,+Y
92,315,-1.442569946,1.15321106,-2.158743,DAA,1,32,+Y
93,316,-2.108379883,1.15321106,-2.158743,DAA,4,33,+Y
94,317,-2.774189941,1.15321106,-2.158743,DAA,2,35,+Y
95,318,-3.44,1.15321106,-2.158743,DAA,3,35,+Y
96,319,-3.9005,0.997686584,-2.158743,SAA,2,7,NA
97,320,-0.44386499,1.72981604,-2.158743,DAA,1,33,+Y
98,321,-1.109680054,1.72981604,-2.158743,DAA,4,34,+Y
99,322,-1.77548999,1.72981604,-2.158743,DAA,2,36,+Y
100,323,-2.44127002,1.72981604,-2.158743,DAA,3,36,+Y
101,324,-3.107080078,1.72981604,-2.158743,DAA,1,34,+Y
102,325,-3.724449951,1.517954956,-2.158743,SAA,4,7,NA
103,326,0,2.306422119,-2.158743,DAA,2,37,+Y
104,327,-0.77678302,2.306422119,-2.158743,DAA,3,37,+Y
105,328,-1.442569946,2.306422119,-2.158743,DAA,1,35,+X
106,329,-2.108379883,2.306422119,-2.158743,DAA,4,35,+Y
107,330,-2.774189941,2.306422119,-2.158743,DAA,2,38,+Y
108,331,-3.387949951,2.167406982,-2.158743,SAA,3,7,NA
109,332,-0.44386499,2.8830271,-2.158743,DAA,1,36,+Y
110,333,-1.109680054,2.8830271,-2.158743,DAA,4,36,+Y
111,334,-1.77548999,2.8830271,-2.158743,DAA,2,39,-Y
112,335,-2.44127002,2.8830271,-2.158743,DAA,3,38,+X
113,336,-2.939360107,2.745180908,-2.158743,SAA,4,8,NA
114,337,-0.221945007,3.45963208,-2.158743,DAA,2,40,+Y
115,338,-0.88772998,3.45963208,-2.158743,DAA,3,39,+Y
116,339,-1.553540039,3.267430908,-2.158743,SAA,1,8,NA
117,340,-2.08972998,3.436391113,-2.158743,SAA,4,9,NA
118,341,-0.365734985,4.00525,-2.158743,SAA,1,9,NA
119,342,-1.085089966,3.872762939,-2.158743,SAA,2,8,NA
120,343,-1.60401001,3.692779053,-2.158743,SAA,3,8,NA
121,407,0.44386499,0.576605408,-2.158743,SAA,1,10,NA
122,408,1.109675049,0.576605408,-2.158743,DAA,4,37,+Y
123,409,1.775484985,0.576605408,-2.158743,DAA,2,41,+Y
124,410,2.441295898,0.576605408,-2.158743,DAA,3,40,+Y
125,411,3.107080078,0.576605408,-2.158743,DAA,1,37,-Y
126,412,3.772891113,0.576605408,-2.158743,DAA,4,38,-X
127,414,0.776782776,1.15321106,-2.158743,DAA,3,41,+Y
128,415,1.442567993,1.15321106,-2.158743,DAA,1,38,+Y
129,416,2.10837793,1.15321106,-2.158743,DAA,4,39,+Y
130,417,2.774187988,1.15321106,-2.158743,DAA,2,42,+Y
131,418,3.439998047,1.15321106,-2.158743,DAA,3,42,+Y
132,419,3.9005,0.997686584,-2.158743,SAA,2,9,NA
133,420,0.44386499,1.72981604,-2.158743,DAA,1,39,+Y
134,421,1.109675049,1.72981604,-2.158743,DAA,4,40,+Y
135,422,1.775484985,1.72981604,-2.158743,DAA,2,43,+Y
136,423,2.44127002,1.72981604,-2.158743,DAA,3,43,+Y
137,424,3.107080078,1.72981604,-2.158743,DAA,1,40,+Y
138,425,3.724452881,1.517954956,-2.158743,SAA,4,10,NA
139,427,0.776782776,2.306422119,-2.158743,DAA,3,44,+Y
140,428,1.442567993,2.306422119,-2.158743,DAA,1,41,-X
141,429,2.10837793,2.306422119,-2.158743,DAA,4,41,+Y
142,430,2.774187988,2.306422119,-2.158743,DAA,2,44,+Y
143,431,3.387954102,2.167406982,-2.158743,SAA,3,9,NA
144,432,0.44386499,2.8830271,-2.158743,DAA,1,42,+Y
145,433,1.109675049,2.8830271,-2.158743,DAA,4,42,+Y
146,434,1.775484985,2.8830271,-2.158743,DAA,2,45,-Y
147,435,2.44127002,2.8830271,-2.158743,DAA,3,45,-X
148,436,2.939364014,2.745180908,-2.158743,SAA,4,11,NA
149,437,0.221945206,3.45963208,-2.158743,DAA,2,46,+Y
150,438,0.88772998,3.45963208,-2.158743,DAA,3,46,+Y
151,439,1.553540039,3.267430908,-2.158743,SAA,1,11,NA
152,440,2.089733887,3.436391113,-2.158743,SAA,4,12,NA
153,441,0.365734589,4.00525,-2.158743,SAA,1,12,NA
154,442,1.085088013,3.872762939,-2.158743,SAA,2,10,NA
155,443,1.60401001,3.692779053,-2.158743,SAA,3,10,NA
